Group;Team;GF;GD;Pts;First;Second;R32;R16;Semis;Final;Champion
A;Brazil;7.4;4.8;6.9;72.9%;19.1%;91.9%;61.1%;46.4%;32.7%;21.4%
A;Cameroon;3.0;-3.6;2.1;3.1%;13.1%;16.2%;2.6%;0.6%;0.2%;0.0%
A;Croatia;4.1;-0.6;3.8;11.9%;33.8%;45.7%;13.4%;5.1%;2.0%;0.6%
A;Mexico;4.2;-0.5;3.9;12.1%;34.1%;46.2%;12.9%;5.4%;1.9%;0.5%
B;Australia;3.0;-3.2;2.2;4.7%;11.7%;16.4%;4.4%;1.3%;0.4%;0.1%
B;Chile;4.1;-0.4;3.9;16.7%;27.6%;44.3%;18.8%;10.3%;5.2%;2.0%
B;Netherlands;4.8;1.0;4.7;28.6%;32.6%;61.1%;33.6%;21.4%;12.4%;6.0%
B;Spain;5.8;2.7;5.8;50.1%;28.2%;78.2%;53.4%;39.1%;26.4%;16.2%
C;Colombia;5.0;1.5;5.1;42.1%;26.5%;68.7%;37.6%;14.6%;7.4%;3.3%
C;Greece;4.1;-0.1;4.1;22.7%;27.1%;49.7%;22.1%;6.9%;2.7%;0.9%
C;Ivory Coast;4.0;-0.4;3.8;19.9%;24.8%;44.7%;17.8%;5.0%;2.0%;0.6%
C;Japan;3.7;-1.0;3.5;15.3%;21.6%;36.9%;13.0%;3.1%;1.0%;0.2%
D;Costa Rica;3.3;-2.1;2.8;9.3%;15.8%;25.0%;8.7%;2.1%;0.7%;0.2%
D;England;4.6;0.8;4.7;31.8%;28.3%;60.2%;35.3%;13.9%;7.2%;3.1%
D;Italy;4.5;0.6;4.5;28.4%;28.3%;56.8%;31.5%;11.8%;5.8%;2.4%
D;Uruguay;4.6;0.7;4.6;30.5%;27.6%;58.1%;33.9%;13.2%;6.1%;2.5%
E;Ecuador;4.4;0.4;4.4;28.2%;27.3%;55.4%;26.0%;11.2%;3.5%;1.1%
E;France;4.8;1.1;4.9;34.5%;28.3%;62.9%;33.3%;14.5%;5.0%;1.8%
E;Honduras;3.3;-2.0;2.8;9.8%;16.3%;26.1%;8.0%;2.1%;0.4%;0.1%
E;Switzerland;4.4;0.5;4.4;27.5%;28.1%;55.6%;27.0%;11.7%;3.9%;1.2%
F;Argentina;6.1;3.1;6.1;59.0%;24.2%;83.2%;57.5%;35.1%;18.9%;10.0%
F;Bosnia and Herzegovina;3.9;-0.6;3.8;15.8%;29.2%;45.0%;19.7%;7.3%;2.0%;0.7%
F;Iran;3.6;-1.3;3.3;12.1%;23.2%;35.3%;14.0%;4.4%;1.1%;0.3%
F;Nigeria;3.7;-1.2;3.4;13.1%;23.5%;36.5%;14.4%;4.2%;0.9%;0.2%
G;Germany;6.0;2.9;6.0;55.0%;26.2%;81.3%;65.0%;47.5%;27.7%;17.2%
G;Ghana;3.1;-2.8;2.5;6.0%;14.4%;20.4%;8.8%;3.0%;0.7%;0.2%
G;Portugal;4.5;0.4;4.4;22.8%;32.7%;55.5%;37.3%;20.8%;9.0%;3.6%
G;United States;4.0;-0.5;3.8;16.1%;26.7%;42.8%;25.1%;11.7%;4.5%;1.5%
H;Algeria;3.3;-2.2;2.8;9.3%;16.4%;25.7%;4.4%;1.1%;0.3%;0.1%
H;Belgium;5.0;1.4;5.0;36.5%;30.2%;66.7%;24.4%;11.0%;3.6%;1.1%
H;Russia;5.1;1.6;5.2;39.0%;29.4%;68.3%;25.7%;11.8%;4.0%;1.1%
H;South Korea;3.8;-0.8;3.6;15.3%;24.0%;39.3%;9.3%;2.9%;0.6%;0.1%
