"Team","Rating"
"Brazil",2110
"Spain",2082
"Germany",2060
"Argentina",1994
"Netherlands",1979
"Colombia",1912
"England",1906
"Portugal",1905
"Uruguay",1898
"Chile",1890
"Italy",1887
"France",1855
"United States",1841
"Switzerland",1822
"Russia",1819
"Ecuador",1816
"Greece",1813
"Belgium",1807
"Sweden",1801
"Ukraine",1796
"Ivory Coast",1786
"Mexico",1784
"Croatia",1779
"Bosnia and Herzegovina",1758
"Japan",1747
"Czechia",1733
"Denmark",1729
"Serbia",1727
"Iran",1719
"Nigeria",1718
"Costa Rica",1717
"Australia",1711
"Ghana",1700
"Peru",1696
"Egypt",1695
"Turkey",1686
"Ireland",1686
"Venezuela",1685
"Panama",1683
"Paraguay",1681
"Romania",1680
"South Korea",1672
"Scotland",1671
"Honduras",1664
"Hungary",1650
"Finland",1645
"United Arab Emirates",1643
"Uzbekistan",1639
"Austria",1638
"Slovenia",1633
"Poland",1624
"Israel",1618
"Bulgaria",1613
"Bolivia",1603
"Cameroon",1593
"Norway",1586
"South Africa",1585
"China",1583
"Algeria",1582
"Slovakia",1580
"North Korea",1577
"Senegal",1570
"Montenegro",1566
"Oman",1563
"New Zealand",1560
"Belarus",1560
"Wales",1558
"Mali",1558
"Armenia",1555
"Libya",1552
"Burkina Faso",1551
"Kuwait",1549
"Jordan",1544
"Morocco",1529
"Saudi Arabia",1519
"Guinea",1518
"Uganda",1516
"Iceland",1512
"El Salvador",1508
"Cape Verde",1508
"Iraq",1506
"Tunisia",1504
"Jamaica",1501
"Trinidad and Tobago",1499
"Qatar",1494
"Macedonia",1488
"Albania",1484
"Gabon",1480
"Zambia",1477
"Togo",1473
"Georgia",1465
"Canada",1464
"Guatemala",1460
"Syria",1459
"Kenya",1450
"Democratic Republic of Congo",1448
"Angola",1442
"Estonia",1442
"Bahrain",1437
"Latvia",1433
"Lithuania",1432
"Haiti",1421
"Azerbaijan",1418
"Martinique",1417
"Moldova",1408
"Northern Cyprus",1406
"Cuba",1403
"Ethiopia",1397
"New Caledonia",1396
"Benin",1388
"Guadeloupe",1384
"Sudan",1382
"Northern Ireland",1381
"Lebanon",1378
"Congo",1376
"Tanzania",1376
"Reunion",1369
"Zimbabwe",1368
"Sierra Leone",1365
"Mozambique",1363
"Cyprus",1359
"Turkmenistan",1347
"Malawi",1336
"Gambia",1333
"Thailand",1331
"Kazakhstan",1330
"Fiji",1330
"Liberia",1315
"Equatorial Guinea",1309
"Botswana",1309
"Central African Republic",1306
"Burundi",1298
"Guyana",1298
"Niger",1294
"Namibia",1287
"Rwanda",1284
"Palestine",1283
"Zanzibar",1275
"Dominican Republic",1268
"Tajikistan",1263
"Singapore",1261
"Tahiti",1260
"Antigua and Barbuda",1259
"Chad",1256
"Lesotho",1241
"French Guiana",1240
"Vietnam",1225
"Malta",1225
"Indonesia",1224
"Vanuatu",1222
"Solomon Islands",1217
"Surinam",1213
"Guinea-Bissau",1211
"South Sudan",1207
"Mayotte",1206
"Philippines",1203
"Bermuda",1197
"Mauritania",1193
"Grenada",1184
"Hong Kong",1181
"Luxembourg",1180
"Malaysia",1168
"Yemen",1158
"Liechtenstein",1153
"Madagascar",1151
"Faroe Islands",1151
"Saint Kitts and Nevis",1142
"Papua New Guinea",1131
"Barbados",1127
"Belize",1127
"Saint Vincent and the Grenadines",1124
"Kyrgyzstan",1122
"Gibraltar",1117
"Nicaragua",1117
"India",1102
"Eritrea",1097
"Maldives",1090
"Puerto Rico",1086
"Afghanistan",1084
"Swaziland",1078
"Sint Maarten",1071
"Sao Tome e Principe",1069
"Mauritius",1062
"Saint Lucia",1042
"Myanmar",1019
"Dominica",1013
"Seychelles",1004
"Curacao",984
"Andorra",971
"Bangladesh",962
"Pakistan",961
"Cayman Islands",944
"Bahamas",927
"Nepal",924
"Aruba",919
"Bonaire",896
"Greenland",883
"Comoros",881
"Laos",871
"Tuvalu",869
"Saint Martin",864
"Somalia",863
"Taiwan",860
"San Marino",856
"Sri Lanka",848
"Tonga",836
"Western Samoa",823
"Cook Islands",819
"Wallis and Futuna",818
"Saint Barthelemy",791
"Mongolia",789
"Djibouti",788
"Guam",764
"Saint Pierre and Miquelon",762
"US Virgin Islands",746
"Monaco",725
"British Virgin Islands",720
"Turks and Caicos",710
"Cambodia",696
"Brunei",695
"Montserrat",679
"Federated States of Micronesia",668
"East Timor",663
"Anguilla",640
"Macao",639
"Niue",595
"Vatican",586
"Kiribati",558
"Tibet",553
"Bhutan",546
"Eastern Samoa",534
"Northern Mariana Islands",496
"Palau",488
